<PAD>	1000000000
<UNK>	1000000000
<S>	1000000000
</S>	1000000000
的	27237
在	6095
了	5475
我	5455
是	5078
你	4982
和	3523
我们	2926
他	2917
一个	2030
有	1959
他们	1716
对	1650
就	1630
说	1615
这	1529
中	1477
都	1467
人	1450
也	1445
会	1403
不	1390
上	1321
可以	1215
将	1198
她	1142
到	1061
与	1060
为	1007
这个	965
要	932
而	917
它	912
但	906
把	878
很	872
如果	850
没有	834
被	828
自己	826
并	809
这些	796
让	787
能	773
来	745
去	732
从	730
做	720
年	712
还	705
知道	671
想	670
公司	660
可能	640
美国	629
工作	628
时	625
中国	621
就是	608
但是	594
问题	593
或	592
好	590
着	586
那	584
给	577
什么	573
已经	570
吗	570
个	565
因为	561
地	549
里	548
进行	536
现在	533
更	530
一些	530
不是	521
以	506
这样	499
需要	496
多	485
研究	477
当	467
该	466
你们	451
月	439
国家	438
用	429
一种	420
时候	417
最	415
后	412
认为	411
时间	400
人们	400
开始	398
等	391
这种	388
们	387
过	385
新	385
下	370
所	370
以及	367
得	365
于	363
所以	356
通过	352
所有	347
其	343
像	335
使	332
看到	330
世界	329
又	325
告诉	323
不会	323
生活	322
方法	321
向	319
很多	310
应该	307
那些	304
或者	304
及	304
吧	301
希望	297
这是	295
表示	295
发现	294
看	293
使用	288
经济	287
发生	286
必须	286
其他	281
可	280
地方	279
这里	279
它们	276
大	276
然后	274
不能	273
不同	272
孩子	269
东西	268
提供	266
还有	266
一样	264
非常	264
重要	258
一	256
呢	255
喜欢	254
成为	253
发展	252
正在	251
由	251
比	250
前	250
影响	250
任何	249
再	247
一起	244
政府	244
主要	241
那么	241
项目	240
称	240
计划	240
如何	239
而且	239
事情	234
得到	230
没	230
为了	229
情况	228
还是	228
只是	227
出	226
帮助	226
分析	224
跟	224
能够	220
包括	218
一直	216
只	213
方式	212
事	211
作为	210
不要	205
却	204
目前	202
技术	201
对于	200
同时	199
许多	197
的话	197
觉得	195
因此	194
结果	194
出现	192
朋友	192
两个	191
系统	190
学生	190
一次	188
您	188
来说	187
已	185
岁	185
方面	185
设计	182
之后	182
获得	181
